Codigo,Sector,Area,Servicio,Elemento
CD-Par-EE-TabS01,Campus Deportes,Parque,Energía Eléctrica,Tablero seccional principal
CD-Par-EE-TabS02,Campus Deportes,Parque,Energía Eléctrica,Tablero seccional 
CD-Par-EE-TabS03,Campus Deportes,Parque,Energía Eléctrica,Tablero seccional cancha
CD-Par-Ilum-LExt01,Campus Deportes,Parque,Iluminación,Foco BC 65 W
CD-Par-Ilum-LExt02,Campus Deportes,Parque,Iluminación,Foco BC 65 W
CD-Par-Ilum-LExt03,Campus Deportes,Parque,Iluminación,Foco BC 65 W
CD-Par-Ilum-LExt04,Campus Deportes,Parque,Iluminación,Foco BC 65 W
E01-01-AA-0Ale,Edificio principal,Salón de Actos,Aire acondicionado,Ale
E01-01-AA-AA01,Edificio principal,Salón de Actos,Aire acondicionado,Aire acondicionado
E01-01-AA-AA02,Edificio principal,Salón de Actos,Aire acondicionado,Aire acondicionado
E01-01-AA-AA03,Edificio principal,Salón de Actos,Aire acondicionado,Aire acondicionado
E01-01-Ce-P01,Edificio principal,Salón de Actos,Cerramiento,Puerta escenario - zótano
E01-01-Ce-Pent,Edificio principal,Salón de Actos,Cerramiento,Puerta Entrada
E01-01-Ce-Ppleg,Edificio principal,Salón de Actos,Cerramiento,Puerta Plegadiza
E01-01-Ce-V01,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ce-V02,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ce-V03,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ce-V04,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ce-V05,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ce-V06,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ce-V07,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ce-V08,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ce-V09,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ce-V10,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ce-V11,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ce-V12,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ce-V13,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ce-V14,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ce-V15,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ce-V16,Edificio principal,Salón de Actos,Cerramiento,Ventana Exterior
E01-01-Ed-Gral,Edificio principal,Salón de Actos,Edilicio,General
E01-01-EE-Bast01,Edificio principal,Salón de Actos,Energía Eléctrica,Toma doble
E01-01-EE-Bast02,Edificio principal,Salón de Actos,Energía Eléctrica,Toma doble
E01-01-EE-Bast03,Edificio principal,Salón de Actos,Energía Eléctrica,Toma
E01-01-EE-Bast04,Edificio principal,Salón de Actos,Energía Eléctrica,Toma doble
E01-01-EE-Bast05,Edificio principal,Salón de Actos,Energía Eléctrica,Punto + Toma
E01-01-EE-MotP,Edificio principal,Salón de Actos,Energía Eléctrica,Motor Pantalla Gigante
E01-01-EE-TabG,Edificio principal,Salón de Actos,Energía Eléctrica,Tablero General Salón de Actos
E01-01-EE-TabS01,Edificio principal,Salón de Actos,Energía Eléctrica,Tablero Seccional Escenario
